A,B
552.0,2.09133554691e11
2.0,5.83453961e8
252.0,9.9983028043e10
502.0,2.1178621047e11
652.0,2.51815731551e11
602.0,2.36690160605e11
352.0,1.33791845614e11
402.0,1.56333801136e11
702.0,2.72745722176e11
852.0,3.50313545872e11
752.0,2.965218901e11
802.0,3.25233554766e11
452.0,1.75438669423e11
152.0,5.7841135897e10
202.0,8.1971471619e10
302.0,1.14871372029e11
102.0,3.9366993221e10
52.0,2.11730540275e10
87501.0,8.01377897425e9
1.0,4.86914498e7
25001.0,2.2816105472e9
12501.0,1.1437986934e9
150001.0,1.3729786210666666e10
162501.0,1.4886609508e10
37501.0,3.4096913674444447e9
100001.0,9.12416087425e9
125001.0,1.1508215314e10
75001.0,6.9166197112e9
50001.0,4.567089178142858e9
137501.0,1.2595210400333334e10
62501.0,5.6028478135e9
175001.0,1.6152214832e10
112501.0,1.0308592877333334e10
187501.0,1.71079686885e10
32.0,2.5610515273e9
982.0,6.758440276e10
792.0,5.5223868591e10
2.0,3.666788185e8
382.0,2.50211345645e10
762.0,4.97273756e10
402.0,2.7983385031e10
482.0,3.2185428863e10
752.0,4.941486403e10
642.0,4.3731738379e10
362.0,2.46257294105e10
722.0,4.7217803613e10
392.0,2.6036181352e10
882.0,6.0689096709e10
42.0,3.1089287737e9
52.0,3.825634013625e9
162.0,1.0933307981e10
332.0,2.17695953255e10
842.0,5.7991151169e10
92.0,6.32152588e9
422.0,2.77544847905e10
952.0,6.1938355184e10
972.0,6.7036945877e10
662.0,4.275217187e10
812.0,5.262656409e10
852.0,5.8050387542e10
682.0,4.6639204222e10
182.0,1.2108988748e10
612.0,4.0234836669e10
62.0,4.44674202e9
122.0,8.3297959605e9
302.0,2.01034367085e10
862.0,5.95486495e10
832.0,5.3896423208e10
742.0,4.8295936152e10
112.0,7.93918569725e9
602.0,4.1125137414e10
372.0,2.43006705905e10
632.0,4.12726151e10
412.0,2.71322023385e10
352.0,2.4270077737e10
442.0,2.92545334935e10
562.0,3.6612033154e10
932.0,6.1332133325e10
692.0,4.5709247944e10
152.0,1.0944110625333334e10
712.0,5.0153693042e10
202.0,1.3394690334333334e10
522.0,3.4349484922e10
962.0,6.3682806993e10
82.0,6.176005947e9
542.0,3.7284635858e10
172.0,1.1546537913333334e10
902.0,5.859203169e10
12.0,1.0640876995e9
192.0,1.2965749087666666e10
292.0,2.0211343833e10
552.0,3.7716172704e10
142.0,9.5801290395e9
252.0,1.6861029347e10
652.0,4.2657186368e10
702.0,4.6707987201e10
912.0,6.287684676e10
462.0,3.01334302565e10
432.0,2.82703653415e10
672.0,4.5484480676e10
272.0,1.940576443e10
492.0,3.2709947235e10
322.0,2.1241655961e10
512.0,3.3713458798e10
622.0,4.0826276334e10
572.0,3.7806110272e10
892.0,6.0131708652e10
222.0,1.5151602539e10
922.0,5.966136356e10
102.0,7.0610705986e9
282.0,1.9407357801e10
242.0,1.67007566645e10
782.0,5.0762476456e10
772.0,5.1234583678e10
942.0,6.1042570532e10
212.0,1.4155436358333334e10
502.0,3.3328011176e10
22.0,1.755695413e9
312.0,2.2206731066e10
822.0,6.1005513109e10
72.0,5.4098401695e9
532.0,3.874068029e10
582.0,4.1352106143e10
992.0,7.3970328873e10
472.0,3.3745844435e10
802.0,5.8535626016e10
732.0,5.5575067171e10
452.0,3.1876494517e10
342.0,2.43277590235e10
872.0,5.8146222373e10
262.0,1.7461965944e10
592.0,4.1522379691e10
232.0,1.58092767265e10
132.0,8.90405544925e9
